6.,6.,6.,6.,6.,6.,20.,20.,20.,6.,6.,6.,6.,6.,6.
6.,0.,0.,0.,0.,0.,20.,20.,20.,0.,0.,0.,0.,0.,6.
6.,6.,0.,20.,20.,20.,20.,20.,20.,20.,20.,20.,0.,6.,6.
6.,0.,6.,0.,20.,20.,20.,20.,20.,20.,20.,0.,6.,0.,6.
6.,0.,0.,6.,0.,20.,20.,20.,20.,20.,0.,6.,0.,0.,6.
7.,0.,0.,0.,6.,0.,20.,20.,20.,0.,6.,0.,0.,0.,7.
0.,0.,0.,0.,0.,6.,0.,20.,0.,6.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,6.,0.,6.,0.,0.,0.,0.,0.,0.
0.,0.,0.,0.,0.,0.,0.,6.,0.,0.,0.,0.,0.,0.,0.
7.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.
6.,0.,0.,0.S6,0.,0.,0.,0.,0.S2,0.,0.,0.,0.,0.,6.
6.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,2.,6.
6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,6.
6.,0.,0.,0.S4,0.,0.,0.,0.,0.S7,0.,0.,0.,0.,0.,6.
6.,6.,6.,6.,6.,6.,0.,0.,0.,6.,6.,6.,6.,6.,6.
