6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.
6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,6.
6.,0.,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,0.,6.
6.,0.,0.,2.,20.,0.,0.,0.,0.,0.,20.,2.,0.,0.,6.
6.,0.,0.,20.,2.,20.,21.,22.,21.,20.,2.,20.,0.,0.,6.
6.,0.,0.,0.,20.,2.,20.,21.,20.,2.,20.,0.,0.,0.,6.
0.,0.,0.,0.,21.,20.,2.,2.,2.,20.,21.,0.,0.,0.,0.
0.,0.,0.,0.,22.,21.,2.,18.,2.,21.,22.,0.,0.,0.,0.
0.,0.,0.,0.,21.,20.,2.,2.,2.,20.,21.,0.,0.,0.,0.
6.,0.,0.,0.,20.,2.,20.,21.,20.,2.,20.,0.,0.,0.,6.
6.,0.,0.,20.,2.,20.,21.,22.,21.,20.,2.,20.,0.,0.,6.
6.,0.,0.,2.,20.,0.,0.,0.,0.,0.,20.,2.,0.,0.,6.
6.,0.,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,0.,6.
6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,6.
6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.,6.
