6.,6.,6.,6.,6.,5.,23.,23.,23.,5.,6.,6.,6.,6.,6.
6.,0.,0.,0.,0.,0.,23.,23.,23.,0.,0.,0.,0.,0.,6.
6.,23.,23.,23.,23.,23.,23.,23.,23.,23.,23.,23.,23.,23.,6.
6.,23.,0.,7.,4.,4.,4.,4.,4.,4.,4.,7.,0.,23.,6.
6.,23.,0.,4.,0.,0.,4.,4.,4.,0.,0.,4.,0.,23.,6.
5.,23.,0.,4.,0.,0.,4.,4.,4.,0.,0.,4.,0.,23.,5.
23.,23.,0.,0.,0.,0.,9.,10.,11.,0.,0.,0.,0.,23.,23.
23.,23.,0.,0.,0.,0.,12.,13.,14.,0.,0.,0.,0.,23.,23.
23.,23.,0.,0.,0.,0.,15.,16.,17.,0.,0.,0.,0.,23.,23.
5.,23.,0.,4.,0.,0.,4.,4.,4.,0.,0.,4.,0.,23.,5.
6.,23.,0.,4.,0.,0.,4.,4.,4.,0.,0.,4.,0.,23.,6.
6.,23.,0.,7.,4.,4.,4.,4.,4.,4.,4.,7.,0.,23.,6.
6.,23.,23.,23.,23.,23.,23.,23.,23.,23.,23.,23.,23.,23.,6.
6.,0.,0.,0.,0.,0.,23.,23.,23.,0.,0.,0.,0.,0.,6.
6.,6.,6.,6.,6.,5.,23.,23.,23.,5.,6.,6.,6.,6.,6.
