7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.
7.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.
7.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.
7.,0.,0.,7.,7.,7.,7.,7.,7.,7.,7.,7.,0.,0.,7.
7.,0.,0.,0.,0.,0.,0.,7.,0.,0.,0.,0.,0.,0.,7.
7.,0.,0.,0.,7.,7.,7.,7.,7.,7.,7.,0.,0.,0.,7.
0.,0.,0.,0.,7.,0.S1,0.S2,0.S3,0.S4,0.S5,7.,0.,0.,0.,0.
0.,0.,0.,0.,7.,0.S6,0.S7,0.S8,0.S1,0.S8,7.,0.,0.,0.,0.
0.,0.,0.,0.,7.,0.S3,0.S4,0.S5,0.S6,0.S7,7.,0.,0.,0.,0.
7.,0.,0.,0.,7.,7.,7.,7.,7.,7.,7.,0.,0.,0.,7.
7.,0.,0.,0.,0.,0.,0.,7.,0.,0.,0.,0.,0.,0.,7.
7.,0.,0.,7.,7.,7.,7.,7.,7.,7.,7.,7.,0.,0.,7.
7.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.
7.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.
7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.,7.
